parameter,value,psnr_mean,ssim_mean,cr_mean,latency_ms_mean
tau,40,30.912,0.835924,3.569,448.94
tau,60,30.9121,0.835899,3.569,433.65
tau,80,30.9126,0.835891,3.569,441.89
tau,100,30.912,0.835899,3.569,508.58
tau,120,30.9108,0.835796,3.569,558.54
p,5,30.8662,0.834337,3.569,495.89
p,10,30.9124,0.835881,3.569,495.57
p,15,30.9449,0.837041,3.569,458.39
p,20,30.9674,0.837802,3.569,443.91
k_max,150,28.4244,0.764942,5.782,292.92
k_max,200,29.7199,0.804388,4.4136,353.28
k_max,250,30.9128,0.835901,3.569,407.24
k_max,300,32.0492,0.861823,2.9926,466.61
rho,80,29.9734,0.811411,4.2053,339.94
rho,90,30.5901,0.827869,3.7649,384.71
rho,95,30.9135,0.835971,3.569,425.87
rho,99,31.1457,0.84155,3.4346,427.94
