method,quality_level,psnr_mean,ssim_mean,file_size_kb_mean,cr_mean,latency_ms_mean
WebP,50,33.2376,0.909309,34.65,40.4776,126.82
WebP,75,35.1042,0.935194,47.92,28.6792,136.82
WebP,95,41.7592,0.982114,140.57,8.6758,179.62
JPEG2000,50,29.127,0.773268,28.69,40.1561,217.75
JPEG2000,75,31.9517,0.851537,57.39,20.0738,228.04
JPEG2000,95,40.5615,0.967465,230.09,5.0066,269.57
AVIF,50,33.3955,0.915883,28.89,44.1586,159.82
AVIF,75,38.2428,0.96386,68.42,18.5289,178.47
AVIF,95,42.6098,0.987244,161.46,7.4094,275.59
JPEG_XL,50,31.4665,0.876542,25.73,48.8243,118.65
JPEG_XL,75,34.5773,0.930931,46.69,27.0266,108.82
JPEG_XL,95,41.5377,0.982014,136.92,8.8314,102.04
