image_name,psnr,ssim,ms_ssim
kodim01.png,28.1975,0.814024,0.982008
kodim02.png,31.9973,0.812531,0.970118
kodim03.png,31.7553,0.820151,0.97275
kodim04.png,31.858,0.81827,0.97684
kodim05.png,27.672,0.829149,0.987827
kodim06.png,29.5886,0.818728,0.972778
kodim07.png,32.0661,0.870928,0.985084
kodim08.png,30.2693,0.89848,0.994008
kodim09.png,33.8022,0.890761,0.987977
kodim10.png,31.4613,0.842072,0.981379
kodim11.png,30.4916,0.824752,0.979108
kodim12.png,34.7262,0.880518,0.986379
kodim13.png,25.8954,0.767797,0.975708
kodim14.png,28.8037,0.792074,0.978951
kodim15.png,34.0456,0.88748,0.991475
kodim16.png,30.4363,0.796837,0.965522
kodim17.png,30.664,0.82793,0.980406
kodim18.png,27.9468,0.752031,0.969075
kodim19.png,32.5646,0.872043,0.987051
kodim20.png,33.22,0.886596,0.989774
kodim21.png,31.0816,0.873768,0.986433
kodim22.png,29.9258,0.784616,0.971485
kodim23.png,35.7829,0.918079,0.990396
kodim24.png,27.6564,0.781213,0.979115
